# 1-Minuten Schritte
# T/°C   I/pA
-48.2 2.0
-46.7 2.0
-45.5 1.5
-44.3 1.1
-43.2 1
-41.7 1
-40.0 1.8
-38.4 2.3
-36.7 1.4
-35.2 1.6
-33.9 1.8
-32.5 2.1
-31.0 2.5
-29.6 3.0
-28.0 3.6
-26.4 4.4
-24.8 5.4
-23.3 6.6
-21.8 7.9
-20.3 9.2
-18.8 11
-17.4 12
-16.1 13
-14.7 13
-13.2 13
-12.0 13
-10.7 12
-9.3  11
-7.8  10
-6.5  8
-4.8  7
-3.6  6
-2.1  5
-0.6  5
1.0   5
2.3   5
3.8   5
5.2   5.3
6.6   5.7
8.0   6
9.3   6.2
10.7  6.6
12.0  7
13.3  7.3
14.6  7.7
16.2  8.3
17.8  9.0
19.7  9.9
21.2  11
22.7  12
24.1  13
25.5  14
26.8  15
28.2  16
30    18
30.8  19
32.2  20
34    22
36    25
37.6  27
39    28
40.5  28
41.8  28
43    27
44.3  26
45.7  25
47.2  24
48.9  23
50.3  21
51.7  19
53.2  17
54.5  16
56    14
57    12
58.3  11
60    10
