# 1-Minuten Schritte
# T/°C   I/pA
-51.3 0.7
-46   1.0
-42   1.2
-39.1 1.4
-36   1.6
-34.9 1.9
-33.4 2.2
-31.5 2.7
-29.4 3.5
-27.4 4.6
-25.2 6.0
-23   8.0
-21   10.2
-19.2 12.1
-17.2 14.5
-15.8 16.0
-13.6 17.5
-11.6 18.2
-9.5  18.0
-7.2  16.0
-5.1  13.5
-3.2  10.3
-1.8  8.0
-0.2  6.8
1.7   6.2
3.7   6.5
6.0   7.1
8.2   8.0
10.1  8.7
12    9.3
13.9  10
15.8  10.5
17.5  11.5
19.7  12.5
22.0  14.3
23.9  16.0
25.8  18.0
27.7  19.8
29.5  22.0
31.4  25.0
33.0  27.5
34.9  30.0
36.8  33.0
38.7  36.0
40.6  38.0
42.6  39.0
44.6  39
46.3  37
48.1  35
50.3  32
52.2  29
54.2  26
56.2  22
58.3  19
60.3  16
