#nu/kHz U_A/V
1.127 0.373
1.090 0.336
1.181 0.398
1.223 0.419
1.274 0.438
1.298 0.447
1.324 0.455
1.340 0.459
1.404 0.471
1.484 0.479
1.653 0.485
1.942 0.486
2.200 0.479
2.312 0.481
2.638 0.478
2.749 0.476
2.924 0.474
3.115 0.469
3.493 0.466
3.760 0.464
3.959 0.463
4.480 0.463
5.935 0.460
6.890 0.461
7.876 0.462
8.823 0.460
9.850 0.460
10.862 0.462
15.801 0.460
25.363 0.455
26.600 0.451
27.732 0.440
28.078 0.436
28.645 0.433
29.443 0.429
31.300 0.425
31.923 0.424
32.993 0.422
34.093 0.411
34.846 0.404
35.663 0.395
36.265 0.390
37.033 0.385
37.698 0.379
38.466 0.371
39.012 0.363
39.360 0.357
40.098 0.344
41.097 0.329
41.588 0.320
41.700 0.319
42.290 0.308
42.741 0.298
43.600 0.284
44.810 0.263
45.879 0.237
46.708 0.222
47.862 0.201
48.408 0.192
48.890 0.183
49.835 0.170
50.196 0.161
