1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	4,111250
1024,000000	5,524435
2048,000000	7,463917
3072,000000	11,160000
4096,000000	14,505859
5120,000000	18,049766
6144,000000	19,998828
7168,000000	24,381016
8192,000000	27,825547
9216,000000	30,641875
10240,000000	34,538437
11264,000000	37,644141
12288,000000	41,542109
13312,000000	43,369531
14336,000000	46,965859
15360,000000	50,557656
16384,000000	53,632578
17408,000000	57,157969
18432,000000	60,040625
19456,000000	63,640156
20480,000000	66,101172
21504,000000	68,158203
22528,000000	71,727500
23552,000000	75,953281
24576,000000	77,914688
25600,000000	80,759297
26624,000000	84,217422
27648,000000	86,782422
28672,000000	89,373125
29696,000000	92,789453
30720,000000	96,075156
31744,000000	98,562969
32768,000000	101,526094
33792,000000	104,192422
34816,000000	106,778359
35840,000000	109,370937
36864,000000	111,709141
37888,000000	115,459141
38912,000000	118,086562
39936,000000	119,857422
40960,000000	122,622031
41984,000000	124,998516
43008,000000	127,586328
44032,000000	130,359453
45056,000000	132,278125
46080,000000	135,178359
47104,000000	137,159453
48128,000000	139,075859
49152,000000	141,673750
50176,000000	144,398672
51200,000000	147,184609
52224,000000	149,248281
53248,000000	151,380859
54272,000000	153,882500
55296,000000	155,859453
56320,000000	157,647813
57344,000000	159,708203
58368,000000	162,589922
59392,000000	164,660000
60416,000000	166,180781
61440,000000	168,133984
62464,000000	170,035781
63488,000000	172,121406
64512,000000	174,165156
65536,000000	176,428594
66560,000000	178,088750
67584,000000	180,321797
68608,000000	182,254375
69632,000000	183,777109
70656,000000	185,318437
71680,000000	187,268281
72704,000000	188,734297
73728,000000	190,297891
74752,000000	191,962344
75776,000000	193,434297
76800,000000	195,222734
77824,000000	196,660078
78848,000000	198,539766
79872,000000	199,827500
80896,000000	201,038750
81920,000000	202,896250
82944,000000	204,356328
83968,000000	205,883281
84992,000000	206,872422
86016,000000	208,578281
87040,000000	209,843594
88064,000000	211,222109
89088,000000	212,701641
90112,000000	213,754844
91136,000000	214,799219
92160,000000	215,940625
93184,000000	217,296172
94208,000000	218,363984
95232,000000	219,737500
96256,000000	221,156953
97280,000000	222,072031
98304,000000	223,397500
99328,000000	224,020781
100352,000000	224,956172
101376,000000	226,146953
102400,000000	227,369766
103424,000000	228,231797
104448,000000	229,100391
105472,000000	229,868828
106496,000000	230,815000
107520,000000	231,899766
108544,000000	232,524063
109568,000000	233,682578
110592,000000	234,646406
111616,000000	235,244922
112640,000000	236,228047
113664,000000	237,210625
114688,000000	238,238672
115712,000000	238,900469
116736,000000	239,607031
117760,000000	240,202031
118784,000000	241,296953
119808,000000	241,853828
120832,000000	242,530625
121856,000000	242,984688
122880,000000	243,736406
123904,000000	244,539688
124928,000000	245,167734
125952,000000	245,639844
126976,000000	246,461484
128000,000000	246,891797
129024,000000	247,652344
130048,000000	247,902578
131072,000000	248,277813
132096,000000	249,052969
133120,000000	249,559375
134144,000000	249,887422
135168,000000	250,421875
136192,000000	250,921719
137216,000000	251,191563
138240,000000	251,789219
139264,000000	252,081641
140288,000000	252,680703
141312,000000	252,956406
142336,000000	253,383984
143360,000000	253,826484
144384,000000	254,144062
145408,000000	254,396328
146432,000000	254,853672
147456,000000	255,307344
148480,000000	255,406797
149504,000000	255,933125
150528,000000	256,128125
151552,000000	256,444922
152576,000000	256,853672
153600,000000	257,145547
154624,000000	257,486250
155648,000000	257,696094
156672,000000	258,056875
157696,000000	258,313047
158720,000000	258,462266
159744,000000	258,809922
160768,000000	259,060937
161792,000000	259,364063
162816,000000	259,602266
163840,000000	259,921953
164864,000000	260,149375
165888,000000	260,352656
166912,000000	260,737422
167936,000000	260,956406
168960,000000	261,222109
169984,000000	261,313438
171008,000000	261,650859
172032,000000	261,865859
173056,000000	262,002656
