#1D 255 -512.000000 260608.000000	[nbin xmin xmax]
#"X"	"Function_0"
0.000000	1.625123
1024.000000	4.331674
2048.000000	8.266797
3072.000000	11.652422
4096.000000	14.947500
5120.000000	18.045703
6144.000000	21.540078
7168.000000	25.028750
8192.000000	28.296094
9216.000000	31.255938
10240.000000	35.585859
11264.000000	38.730703
12288.000000	42.123125
13312.000000	44.992188
14336.000000	48.214766
15360.000000	51.542891
16384.000000	55.054922
17408.000000	58.080156
18432.000000	61.662266
19456.000000	64.737891
20480.000000	68.115234
21504.000000	71.302187
22528.000000	74.470859
23552.000000	78.088516
24576.000000	80.786094
25600.000000	83.699531
26624.000000	86.850703
27648.000000	89.788438
28672.000000	92.711250
29696.000000	96.089922
30720.000000	98.598125
31744.000000	101.669531
32768.000000	104.942656
33792.000000	107.670469
34816.000000	110.334141
35840.000000	113.503438
36864.000000	115.958906
37888.000000	118.935312
38912.000000	121.925391
39936.000000	124.332344
40960.000000	126.737031
41984.000000	129.299453
43008.000000	132.048437
44032.000000	134.656563
45056.000000	137.185859
46080.000000	139.701328
47104.000000	142.215156
48128.000000	144.784922
49152.000000	147.559609
50176.000000	149.552187
51200.000000	152.038281
52224.000000	154.090078
53248.000000	156.186406
54272.000000	158.601563
55296.000000	160.921094
56320.000000	163.080938
57344.000000	165.568281
58368.000000	167.321719
59392.000000	169.434609
60416.000000	171.442266
61440.000000	173.516484
62464.000000	175.720703
63488.000000	177.641875
64512.000000	179.854453
65536.000000	182.054609
66560.000000	183.839062
67584.000000	185.557656
68608.000000	187.411406
69632.000000	189.333750
70656.000000	191.038125
71680.000000	192.478047
72704.000000	194.475469
73728.000000	196.055391
74752.000000	197.425781
75776.000000	199.298203
76800.000000	200.635547
77824.000000	202.184141
78848.000000	203.896172
79872.000000	205.233125
80896.000000	206.942969
81920.000000	208.215000
82944.000000	209.755391
83968.000000	211.060859
84992.000000	212.467578
86016.000000	213.949453
87040.000000	215.145469
88064.000000	216.717422
89088.000000	217.763984
90112.000000	219.010625
91136.000000	220.348281
92160.000000	221.551172
93184.000000	222.739297
94208.000000	223.728047
95232.000000	224.841563
96256.000000	225.829375
97280.000000	226.859219
98304.000000	228.115156
99328.000000	229.217266
100352.000000	230.250703
101376.000000	231.221406
102400.000000	232.059297
103424.000000	232.981484
104448.000000	233.634219
105472.000000	234.631641
106496.000000	235.411953
107520.000000	236.370859
108544.000000	237.520781
109568.000000	238.534766
110592.000000	239.453047
111616.000000	240.152578
112640.000000	241.021641
113664.000000	241.854922
114688.000000	242.392812
115712.000000	243.351094
116736.000000	243.862891
117760.000000	244.625391
118784.000000	245.314766
119808.000000	245.930234
120832.000000	246.637500
121856.000000	247.064687
122880.000000	247.594297
123904.000000	248.398672
124928.000000	248.822812
125952.000000	249.309531
126976.000000	249.999844
128000.000000	250.371875
129024.000000	250.817656
130048.000000	251.314609
131072.000000	251.738438
132096.000000	252.134609
133120.000000	252.533125
134144.000000	252.986953
135168.000000	253.374375
136192.000000	253.572734
137216.000000	254.099531
138240.000000	254.665547
139264.000000	255.097109
140288.000000	255.401641
141312.000000	255.846484
142336.000000	255.973125
143360.000000	256.332969
144384.000000	256.770469
145408.000000	256.987031
146432.000000	257.256797
147456.000000	257.678594
148480.000000	257.993281
149504.000000	258.400547
150528.000000	258.572578
151552.000000	258.887969
152576.000000	259.075938
153600.000000	259.412500
154624.000000	259.596172
155648.000000	260.094297
156672.000000	260.499063
157696.000000	260.742891
158720.000000	261.015703
159744.000000	261.172500
160768.000000	261.432578
161792.000000	261.586875
162816.000000	261.761953
163840.000000	261.908438
164864.000000	262.226172
165888.000000	262.341875
166912.000000	262.467422
167936.000000	262.721953
168960.000000	262.764219
169984.000000	263.033281
171008.000000	263.114219
172032.000000	263.200469
173056.000000	263.462188
174080.000000	263.607734
175104.000000	263.715078
176128.000000	263.819687
177152.000000	263.895625
178176.000000	263.965703
179200.000000	264.217344
180224.000000	264.269609
181248.000000	264.378984
182272.000000	264.517344
183296.000000	264.503281
184320.000000	264.699766
185344.000000	264.890625
186368.000000	265.049922
187392.000000	265.119375
188416.000000	265.179766
189440.000000	265.386172
190464.000000	265.446328
191488.000000	265.733281
192512.000000	265.873359
193536.000000	265.851172
194560.000000	265.930547
195584.000000	266.031641
196608.000000	266.303828
197632.000000	266.420078
198656.000000	266.517109
199680.000000	266.484141
200704.000000	266.621797
201728.000000	266.814453
202752.000000	266.844375
203776.000000	267.019375
204800.000000	267.040156
205824.000000	267.192266
206848.000000	267.328281
207872.000000	267.301328
208896.000000	267.497656
209920.000000	267.358203
210944.000000	267.346875
211968.000000	267.408203
212992.000000	267.518281
214016.000000	267.478828
215040.000000	267.631797
216064.000000	267.607109
217088.000000	267.626953
218112.000000	267.661250
219136.000000	267.621328
220160.000000	267.785156
221184.000000	267.804141
222208.000000	267.683750
223232.000000	267.855078
224256.000000	267.890703
225280.000000	267.950469
226304.000000	267.929297
227328.000000	268.001328
228352.000000	267.980156
229376.000000	268.003438
230400.000000	268.072266
231424.000000	268.044453
232448.000000	268.095156
233472.000000	268.147422
234496.000000	268.181719
235520.000000	268.231641
236544.000000	268.149688
237568.000000	268.235156
238592.000000	268.254062
239616.000000	268.361484
240640.000000	268.321484
241664.000000	268.289141
242688.000000	268.394531
243712.000000	268.219687
244736.000000	268.261953
245760.000000	268.401953
246784.000000	268.440078
247808.000000	268.440938
248832.000000	268.506797
249856.000000	268.559453
250880.000000	268.585859
251904.000000	268.592734
252928.000000	268.485234
253952.000000	268.542578
254976.000000	268.503672
256000.000000	268.581953
257024.000000	268.510000
258048.000000	268.611172
259072.000000	268.592891
260096.000000	268.679141
