1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	2,873225
1024,000000	4,084424
2048,000000	7,856328
3072,000000	10,576406
4096,000000	14,685625
5120,000000	17,918047
6144,000000	21,230000
7168,000000	24,484922
8192,000000	28,160000
9216,000000	31,022500
10240,000000	34,722500
11264,000000	38,287969
12288,000000	41,516563
13312,000000	44,746875
14336,000000	47,953281
15360,000000	51,480469
16384,000000	54,186563
17408,000000	57,224219
18432,000000	60,790703
19456,000000	63,732969
20480,000000	67,268750
21504,000000	70,518047
22528,000000	73,514219
23552,000000	76,840937
24576,000000	79,591797
25600,000000	82,822500
26624,000000	85,707891
27648,000000	88,806250
28672,000000	91,580313
29696,000000	94,544297
30720,000000	97,796641
31744,000000	100,240391
32768,000000	103,614844
33792,000000	106,629688
34816,000000	109,293125
35840,000000	112,016484
36864,000000	114,920781
37888,000000	117,699297
38912,000000	120,237578
39936,000000	123,038281
40960,000000	125,762031
41984,000000	128,217969
43008,000000	130,737813
44032,000000	133,304375
45056,000000	135,548047
46080,000000	138,510781
47104,000000	140,769609
48128,000000	143,250469
49152,000000	146,236328
50176,000000	148,239687
51200,000000	150,656875
52224,000000	153,021641
53248,000000	155,005547
54272,000000	157,118047
55296,000000	159,480703
56320,000000	161,775859
57344,000000	163,688594
58368,000000	165,685781
59392,000000	167,978750
60416,000000	169,700703
61440,000000	171,918750
62464,000000	174,079062
63488,000000	176,083750
64512,000000	178,118750
65536,000000	180,641641
66560,000000	182,212813
67584,000000	184,133984
68608,000000	186,078047
69632,000000	187,796328
70656,000000	189,574062
71680,000000	191,268828
72704,000000	193,209922
73728,000000	194,716797
74752,000000	196,227109
75776,000000	197,997109
76800,000000	199,262031
77824,000000	200,964453
78848,000000	202,363984
79872,000000	203,802500
80896,000000	205,579609
81920,000000	206,924375
82944,000000	208,288516
83968,000000	210,018047
84992,000000	211,351875
86016,000000	212,969063
87040,000000	214,251953
88064,000000	215,343672
89088,000000	216,697812
90112,000000	217,974531
91136,000000	219,042891
92160,000000	220,330547
93184,000000	221,578047
94208,000000	222,564531
95232,000000	223,759609
96256,000000	224,949844
97280,000000	226,014141
98304,000000	227,080391
99328,000000	228,174219
100352,000000	229,228438
101376,000000	230,147734
102400,000000	231,069063
103424,000000	231,988984
104448,000000	232,985312
105472,000000	233,910391
106496,000000	234,784219
107520,000000	235,617344
108544,000000	236,560547
109568,000000	237,508828
110592,000000	238,300703
111616,000000	239,374766
112640,000000	240,447500
113664,000000	241,295625
114688,000000	242,024219
115712,000000	242,807344
116736,000000	243,586484
117760,000000	244,051406
118784,000000	244,963203
119808,000000	245,525000
120832,000000	246,182578
121856,000000	246,582656
122880,000000	247,228203
123904,000000	247,801953
124928,000000	248,438125
125952,000000	249,078750
126976,000000	249,451562
128000,000000	250,002344
129024,000000	250,590000
130048,000000	250,917109
131072,000000	251,386406
132096,000000	251,872109
133120,000000	252,353828
134144,000000	252,725234
135168,000000	253,248828
136192,000000	253,792188
137216,000000	254,113906
138240,000000	254,662734
139264,000000	254,945312
140288,000000	255,335938
